Term,Example Sentence
Vitamina,"Como subprodutos da industrialização do abacaxi, obtêm-se álcool, ácido cítrico (citrato), ácido málico, ácido ascórbico (vitamina C), bromelina (enzima proteolítica que entra na composição de diversos medicamentos) e rações para animais; do restante da planta, são aproveitados, industrialmente, as fibras e o amido."
Vômito,"A ingestão dos esporos do carbúnculo provoca sérias dificuldades gastrointestinais, cólica, vômito sanguinolento e diarreia."
Zoonose,"Outras doenças que estão tendo condições mais favoráveis de difusão em virtude do aquecimento são as zoonoses, aquelas que são típicas de animais mas podem contaminar o homem."
Zoopsia,NA
Zoster,"Diversas localidades reivindicaram o privilégio de ser seu local de nascimento: Éfeso, Tegyra, Zoster e Creta."
Alergologia,Os testes cutâneo-alérgicos são rápidos e práticos e podem ser feitos no próprio consultório do médico especialista em Alergia e Imunologia e geralmente são suficientes para confirmar o diagnóstico.
Anestesiologia,"O químico e farmacêutico Friedrich Serturner isolou a Morfina do ópio, sendo um marco na medicina e Anestesiologia."
Angiologia,"Comparativamente, a medicina veterinária tem uma anatomia muito mais abrangente, concentrando-se na anatomia músculo-esquelética, artrologia, esplancnologia, angiologia e neurologia de várias espécies."
Cardiologia,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
Cirurgia Cardiovascular,"Nos casos em que é necessária cirurgia cardiovascular, esta pode ser aberta ou, de forma menos invasiva, através da inserção de pequenos arames pelas artérias periféricas, a que se dá o nome de angioplastia coronária."
Cirurgia Geral,"O médico, quando nos últimos anos da faculdade de medicina, realiza internato hospitalar em diversas áreas como clínica médica, cirurgia geral, pediatria e ginecologia e obstetrícia."
Cirurgia Plástica,"As mamas são vistas por muitos como um indicativo fundamental de feminilidade ou um atrativo sexual, e por causa disso várias mulheres que passam por processos de mastectomia relacionados a câncer têm recorrido à cirurgia plásticas para sua reconstrução."
Cirurgia Torácica,html|titulo=Hospital Octávio Mangabeira realiza primeira cirurgia torácica por vídeo da rede SUS na Bahia|publicado=Secretaria de Comunicação Social do Governo do Estado da Bahia|data=16 de julho de 2014|acessodata=16 de julho de 2014|arquivodata=26 de julho de 2014|arquivourl=https://web.
Cirurgia Vascular,"option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
Clínica Médica,"Bem como a organização de ajuda humanitária para as vítimas de fome e de surtos de cólera em 1892, ele passou a construir três escolas, um corpo de bombeiros e uma clínica médica, e a doar seus serviços médicos aos camponeses que viviam a quilômetros dali, apesar das frequentes recidivas de sua tuberculose."
Coloproctologia,"text bytes=""1608"" xml:space=""preserve"">'''Coloproctologia''' (do grego antigo: κῶλον, ''kôlon'', 'membro', 'parte de um verso'; πρωκτός, ''prōktós'', 'ânus'; e -λογία, ''logía'', 'estudo') é uma especialidade médica cirúrgica, é o estudo das doenças do intestino grosso (cólon), do reto e ânus."
Dermatologia,"considerado um centro de referência nacional e internacional na área de dermatologia geral e, em particular, da hanseníase."
Endocrinologia,"Alguns fisiologistas como Claude Bernard investigaram as funções químicas e físicas dos organismos vivos, recorrendo a métodos experimentais como a vivissecção e lançando as fundações da biomecânica e da endocrinologia, disciplina em rápida ascensão depois da descoberta da primeira hormona em 1902."
Endoscopia,"lt;ref name=&quot;intro HGray2&quot; /&gt; Os métodos usados incluem a dissecação, na qual um corpo é aberto e seus órgãos estudados, e a endoscopia, na qual um instrumento equipado com uma câmera de vídeo é inserido através de uma pequena incisão na parede do corpo e usado para explorar os órgãos internos e outras estruturas."
Gastroenterologia,"text bytes=""2686"" xml:space=""preserve"">{{Info/Especialidade médica|título=Gastroenterologia|sistema=Digestivo e gástrico|doenças=Gastrite, Síndrome do cólon irritável, Constipação e outros."
Genética Médica,"Albino Aroso, Centro Integrado de Cirurgia de Ambulatório e Centro de Genética Médica Doutor Jacinto de Magalhães."
Geriatria,"lt;ref name=GERIATRIA&gt;{{Citar livro|título=Geriatria e Gerontologia do Cão e Gato|autor=Hoskins, Johnny D."
Ginecologia e Obstetrícia,"Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
Hematologia,Introdução à Hematologia.
Hepatologia,"Médicos gastroenterologistas podem ainda atuar em áreas que não são consideradas especialidades médicas no Brasil, mas que estão relacionadas à especialidade e geralmente requerem uma formação acadêmica adicional, a saber: endoscopia digestiva, gastroenterologia pediátrica, hepatologia e nutrição parenteral e  enteral."
Infectologia,"Sociedade Brasileira de Infectologia, 19/11/2008 o Hospital Nossa Senhora da Conceição[http://www."
Mastologia,"br/Artigos/Brasil/Sa%C3%BAde/Hospitais_que_se_destacam_no_Brasil/}} que, de acordo com a Sociedade Brasileira de Mastologia, atinge cerca de dois mil novos casos anualmente."
Medicina de Emergência,Medicina de urgência|Medicina de emergência]] &amp;#x2013; centra-se nos cuidados prestados no serviço de urgência .
Medicina de Família e Comunidade,"Em algumas faculdades brasileiras já foi introduzido também o internato obrigatório em saúde coletiva, com estágios em medicina preventiva e social e medicina de família e comunidade."
Medicina do Trabalho,"A medicina do trabalho estuda os meios preventivos e reparatórios para a saúde do trabalhador, ocupando-se das medidas de proteção à vida, saúde e a integridade física do ser humano, resultando em normas de segurança e medicina do trabalho, limitação aos excessos de trabalho, reabilitação profissional e bem-estar físico e mental do trabalhador."
Medicina Esportiva,"Para voltar a ser o protagonista do futebol mineiro, o Atlético reuniu uma grande equipe dirigida por Chico Neto, e posteriormente por Eugênio Medgyessy, e que contou com jogadores renomados como Carlos Brant, Nariz,{{citar web|título=O “Pai” da Medicina Esportiva no Brasil|url=http://www."
Medicina Física e Reabilitação,"A Medicina Física e Reabilitação é uma área da medicina relativamente nova, porém, com um longo histórico."
Medicina Intensiva,Medicina intensiva|Medicina de cuidados intensivos]] &amp;#x2013; centra-se no suporte de vida e nos cuidados intensivos de doentes graves.
Medicina Legal e Perícia Médica,NA
Medicina Nuclear,"com/fe-del-mundo-first-female-student-at-harvard-medical-school/ |publicado = Amazing Wome History |lingua = inglês |acessodata = 13 de abril de 2015 }} Paulo Campos, um médico que foi apelidado como &quot;O Pai da Medicina Nuclear nas Filipinas&quot; por suas contribuições no campo da medicina nuclear,{{citar web | autor = Sabater, Madel R."
Medicina Preventiva e Social,"Em algumas faculdades brasileiras já foi introduzido também o internato obrigatório em saúde coletiva, com estágios em medicina preventiva e social e medicina de família e comunidade."
Nefrologia,"Entretanto, segundo censo feito em 2010 pela Sociedade Brasileira de Nefrologia, nos últimos dez anos, a hipertensão passou a ser o principal problema associado ao uso da diálise no Brasil."
Neonatologia,"Serviço de Consultas Externas (Anestesiologia, Cardiologia, Cirurgia Geral, Diabetologia, Dor, Endocrinologia e Nutrição, Gastroenterologia, Ginecologia, Hematologia Clínica, Imunohemoterapia, Infecciologia, Medicina do Trabalho, Medicina Física e de Reabilitação, Medicina Interna, Neurologia, Nefrologia, Neonatologia, Obstetrícia, Oftalmologia, Oncologia Médica, Ortopedia, Otorrinolaringologia, Pneumologia, Psicologia, Psiquiatria Adultos, Psiquiatria da Infância e Adolescência, Senologia, Urologia."
Neurocirurgia,"pt/2015/02/20/assento-de-batismo-de-egas-moniz/}} foi um médico, neurocirurgião, pesquisador, professor, político e escritor português."
Neurologia,"Embora sua tese tratasse da ginecologia e obstetrícia, Munthe fora fortemente impressionado pelo trabalho pioneiro sobre neurologia do professor Jean-Martin Charcot, chegando a assistir às suas aulas no Hospital Salpêtrière."
Nutrologia,Nutrição e Nutrologia de Cães e Gatos - Colégio Brasileiro de Nutrição Animal (CBNA){{citar web|url=http://ts.
Oftalmologia,"pdf|data=2010-04-23}}, e fornece a maioria de seus serviços gratuitamente no ponto de uso, embora haja algumas taxas para algumas pessoas por exames oftalmológicos, atendimento odontológico, prescrições e aspectos de cuidados pessoais."
Oncologia Clínica,"html|título= Cartilagem de tubarão não ajuda contra câncer de pulmão|ligação inativa= |data=2 de junho de 2007|acessodata= 16 de janeiro de 2012 |publicado=G1|autor=Maggie Fox|obra= }} Em 1997, um estudo semelhante fora realizado pela Sociedade Americana de Oncologia Clínica, com conclusões semelhantes."
Ortopedia e Traumatologia,"org/67u8AnKNd |arquivodata=24 de maio de 2012 |título=A Secretaria |autor=Secretaria Municipal de Saúde (SEMS) |data=10 de agosto de 2010 |acessodata=24 de maio de 2012}} Para emergências a cidade conta com quatro Unidades de Pronto Atendimento (UPAMs dos bairros Vila Cristina, Vila Sônia e Piracicamirim), além do Serviço de Atendimento Móvel de Urgência (SAMU) e a Central de Ortopedia e Traumatologia (COT)."
Otorrinolaringologia,"Em 2020, um grupo de otorrinolaringologistas de Itália, encontraram uma nova pista que pode apontar para a origem da perda auditiva de Beethoven."
Patologia,"Estudo do sistema biológico em nível molecular''': Apresenta a visão bioquímica de processos e fenômenos da biologia celular, fisiologia e imunologia,  transmissão de genes (biologia molecular), patologia."
Patologia Clínica/Medicina Laboratorial,"O Patologista Clínico é o médico especialista em Medicina Laboratorial, que obteve sua titulação através de atendimento a critérios técnicos estabelecidos pela Sociedade Brasileira de Patologia Clínica/Medicina Laboratorial (SBPC/ML)[http://www."
